Taxon,Value,Comment
Galatella linosyris,75,
Galeobdolon luteum,8.5,
Galeopsis angustifolia,15.5,
Galeopsis ladanum,48,
Galeopsis pubescens,30,
Galeopsis speciosa,15.5,
Galeopsis tetrahit agg.,9.5,
Galinsoga parviflora,2,
Galium album,26,
Galium aparine,28,
Galium boreale,75,
Galium glaucum,75,
Galium odoratum,75,
Galium palustre,14,
Galium pumilum,46,
Galium rotundifolium,34,
Galium saxatile,8,
Galium spurium,2.5,
Galium sylvaticum,7.5,
Galium uliginosum,7,
Galium verum,34,
Genista germanica,10,
Genista tinctoria,13,
Gentianopsis ciliata,33,
Geranium columbinum,25,
Geranium dissectum,25,
Geranium palustre,75,
Geranium pratense,32,
Geranium pusillum,6,
Geranium pyrenaicum,11,
Geranium robertianum,39,
Geranium sanguineum,42,
Geranium sylvaticum,8,
Geum rivale,30,
Geum urbanum,40,
Glechoma hederacea,30,
Glyceria fluitans,5,
Glyceria maxima,8.5,
Glyceria notata,75,
Gnaphalium sylvaticum,7,
Gnaphalium uliginosum,5,
Gymnocarpium dryopteris,6,
Gypsophila muralis,5,
Hedera helix,75,
Helianthemum grandiflorum,30,
Helianthus tuberosus,6,
Helictotrichon pratense,30,
Helictotrichon pubescens,75,
Hepatica nobilis,4,
Heracleum sphondylium,32,
Herniaria glabra,26,
Hieracium lachenalii,22,
Hieracium laevigatum,40,
Hieracium maculatum,36.5,
Hieracium murorum,33,
Hieracium sabaudum,32,
Hieracium umbellatum,27,
Holcus lanatus,20,
Holcus mollis,10,
Holosteum umbellatum,75,
Homogyne alpina,7,
Hordelymus europaeus,75,
Hordeum jubatum,5,
Hottonia palustris,35,
Humulus lupulus,35,
Hydrocotyle vulgaris,75,
Hylotelephium telephium,32,
Hypericum hirsutum,10,
Hypericum humifusum,9,
Hypericum maculatum,7,
Hypericum montanum,30,
Hypericum perforatum,23,
Hypochaeris radicata,10,
Illecebrum verticillatum,8,
Impatiens glandulifera,32,
Impatiens noli-tangere,7,
Impatiens parviflora,39,
Inula britannica,75,
Inula conyzae,20,
Inula ensifolia,30,
Inula hirta,13,
Inula salicina,23,
Iris pseudacorus,9.5,
Iris pumila,18,
Isatis tinctoria,9,
Jasione montana,9.5,
Juglans regia,35,
Juncus articulatus,10,
Juncus atratus,4,
Juncus bufonius,3,
Juncus bulbosus,10,
Juncus compressus,4,
Juncus conglomeratus,7,
Juncus effusus,10,
Juncus filiformis,12,
Juncus inflexus,13,
Juncus squarrosus,18.5,
Juncus tenuis,11,
Juniperus communis,38,
Knautia arvensis,28,
Koeleria macrantha,35,
Koeleria pyramidata,32,
Laburnum anagyroides,50,
Lactuca perennis,15.5,
Lactuca serriola,5,
Lactuca viminea,8,
Lamium album,21,
Lamium amplexicaule,10.5,
Lamium maculatum,15,
Lamium purpureum,25,
Lappula squarrosa,5.5,
Lapsana communis,12.5,
Larix decidua,8,
Laserpitium latifolium,38,
Lathyrus niger,13,
Lathyrus pratensis,30,
Lathyrus sylvestris,22,
Lathyrus tuberosus,18,
Lathyrus vernus,13.5,
Lemna minor,26,
Leontodon hispidus,32,
Lepidium campestre,8,
Lepidium draba,11,
Leucanthemum vulgare,24.5,
Libanotis pyrenaica,13,
Ligustrum vulgare,43,
Limosella aquatica,15,
Linaria genistifolia,27.5,
Linaria vulgaris,10.5,
Linum austriacum,40,
Linum catharticum,23.5,
Linum tenuifolium,30,
Listera ovata,33,
Lolium multiflorum,1,
Lolium perenne,8,
Lonicera xylosteum,75,
Lotus corniculatus,15,
Lotus pedunculatus,3.5,
Lotus tenuis,10,
Lupinus polyphyllus,32.5,
Luzula campestris,15,
Luzula luzuloides,5,
Luzula pilosa,18,
Luzula sylvatica,7,
Lychnis flos-cuculi,15,
Lycium barbarum,75,
Lycopodium clavatum,24,
Lycopsis arvensis,25,
Lycopus europaeus,15,
Lysimachia nemorum,5,
Lysimachia nummularia,33,
Lysimachia thyrsiflora,15,
Lysimachia vulgaris,19,
Lythrum salicaria,10,
Mahonia aquifolium,40,
Maianthemum bifolium,4,
Malva moschata,75,
Malva neglecta,1,
Malva sylvestris,5,
Matricaria chamomilla,1,
Matricaria discoidea,3,
Medicago ×varia,12,
Medicago falcata,75,
Medicago lupulina,13,
Medicago minima,36,
Medicago sativa,10.5,
Melampyrum arvense,26.5,
Melampyrum cristatum,13,
Melampyrum nemorosum,45,
Melampyrum pratense,33,
Melampyrum sylvaticum,18,
Melica ciliata,27.5,
Melica nutans,11,
Melica transsilvanica,27,
Melica uniflora,3.5,
Melilotus albus,18,
Melilotus officinalis,23,
Melittis melissophyllum,45,
Mentha aquatica,7,
Mentha arvensis,12,
Mentha longifolia,5.5,
Mercurialis perennis,39.5,
Microrrhinum minus,4,
Microthlaspi perfoliatum,45,
Milium effusum,11.5,
Minuartia setacea,30,
Moehringia trinervia,31,
